"STATISTIC Label","Quarter","Eircode Output","UNIT","VALUE"
"New Dwelling Completion","2014Q4","R45: Edenderry","Number","4"
"New Dwelling Completion","2014Q4","R51: Kildare","Number","5"
"New Dwelling Completion","2014Q4","R56: Curragh","Number","3"
"New Dwelling Completion","2014Q4","R93: Carlow","Number","11"
"New Dwelling Completion","2014Q4","R95: Kilkenny","Number","21"
"New Dwelling Completion","2014Q4","T12: Cork Southside","Number","15"
"New Dwelling Completion","2014Q4","T23: Cork Northside","Number","13"
"New Dwelling Completion","2014Q4","T34: Carrignavar","Number","2"
"New Dwelling Completion","2014Q4","T45: Glanmire","Number","6"
"New Dwelling Completion","2014Q4","T56: Watergrasshill","Number","7"
"New Dwelling Completion","2014Q4","V14: Shannon","Number","0"
"New Dwelling Completion","2014Q4","V15: Kilrush","Number","5"
"New Dwelling Completion","2014Q4","V23: Caherciveen","Number","4"
"New Dwelling Completion","2014Q4","V31: Listowel","Number","5"
"New Dwelling Completion","2014Q4","V35: Kilmallock","Number","1"
"New Dwelling Completion","2014Q4","V42: Newcastle West","Number","6"
"New Dwelling Completion","2014Q4","V92: Tralee","Number","20"
"New Dwelling Completion","2014Q4","V93: Killarney","Number","23"
"New Dwelling Completion","2014Q4","V94: Limerick","Number","30"
"New Dwelling Completion","2014Q4","V95: Ennis","Number","32"
"New Dwelling Completion","2014Q4","W12: Newbridge","Number","7"
"New Dwelling Completion","2014Q4","W23: Celbridge","Number","50"
"New Dwelling Completion","2014Q4","W34: Monasterevin","Number","3"
"New Dwelling Completion","2014Q4","W91: Naas","Number","38"
"New Dwelling Completion","2014Q4","X35: Dungarvan","Number","14"
"New Dwelling Completion","2014Q4","X42: Kilmacthomas","Number","2"
"New Dwelling Completion","2014Q4","X91: Waterford","Number","18"
"New Dwelling Completion","2014Q4","Y14: Arklow","Number","8"
"New Dwelling Completion","2014Q4","Y21: Enniscorthy","Number","22"
"New Dwelling Completion","2014Q4","Y25: Gorey","Number","20"
"New Dwelling Completion","2014Q4","Y34: New Ross","Number","14"
"New Dwelling Completion","2014Q4","Y35: Wexford","Number","13"
"New Dwelling Completion","2015Q1","All","Number","1371"
"New Dwelling Completion","2015Q1","A41: Ballyboughal","Number","1"
"New Dwelling Completion","2015Q1","A42: Garristown","Number","0"
"New Dwelling Completion","2015Q1","A45: Oldtown","Number","0"
"New Dwelling Completion","2015Q1","A63: Greystones","Number","16"
"New Dwelling Completion","2015Q1","A67: Wicklow","Number","12"
"New Dwelling Completion","2015Q1","A75: Castleblaney","Number","7"
"New Dwelling Completion","2015Q1","A81: Carrickmacross","Number","6"
"New Dwelling Completion","2015Q1","A82: Kells","Number","12"
"New Dwelling Completion","2015Q1","A83: Enfield","Number","9"
"New Dwelling Completion","2015Q1","A84: Ashbourne","Number","12"
"New Dwelling Completion","2015Q1","A85: Dunshaughlin","Number","2"
"New Dwelling Completion","2015Q1","A86: Dunboyne","Number","2"
"New Dwelling Completion","2015Q1","A91: Dundalk","Number","27"
"New Dwelling Completion","2015Q1","A92: Drogheda","Number","48"
"New Dwelling Completion","2015Q1","A94: Blackrock","Number","3"
"New Dwelling Completion","2015Q1","A96: Glenageary","Number","26"
"New Dwelling Completion","2015Q1","A98: Bray","Number","16"
"New Dwelling Completion","2015Q1","C15: Navan","Number","14"
"New Dwelling Completion","2015Q1","D01: Dublin 1","Number","11"
"New Dwelling Completion","2015Q1","D02: Dublin 2","Number","12"
"New Dwelling Completion","2015Q1","D03: Dublin 3","Number","3"
"New Dwelling Completion","2015Q1","D04: Dublin 4","Number","1"
"New Dwelling Completion","2015Q1","D05: Dublin 5","Number","2"
"New Dwelling Completion","2015Q1","D06: Dublin 6","Number","14"
"New Dwelling Completion","2015Q1","D07: Dublin 7","Number","8"
"New Dwelling Completion","2015Q1","D08: Dublin 8","Number","12"
"New Dwelling Completion","2015Q1","D09: Dublin 9","Number","11"
"New Dwelling Completion","2015Q1","D10: Dublin 10","Number","1"
"New Dwelling Completion","2015Q1","D11: Dublin 11","Number","31"
"New Dwelling Completion","2015Q1","D12: Dublin 12","Number","2"
"New Dwelling Completion","2015Q1","D13: Dublin 13","Number","36"
"New Dwelling Completion","2015Q1","D14: Dublin 14","Number","19"
"New Dwelling Completion","2015Q1","D15: Dublin 15","Number","54"
"New Dwelling Completion","2015Q1","D16: Dublin 16","Number","6"
"New Dwelling Completion","2015Q1","D17: Dublin 17","Number","0"
"New Dwelling Completion","2015Q1","D18: Dublin 18","Number","17"
"New Dwelling Completion","2015Q1","D20: Dublin 20","Number","2"
"New Dwelling Completion","2015Q1","D22: Dublin 22","Number","2"
"New Dwelling Completion","2015Q1","D24: Dublin 24","Number","37"
"New Dwelling Completion","2015Q1","D6W: Dublin 6W","Number","20"
"New Dwelling Completion","2015Q1","E21: Cahir","Number","3"
"New Dwelling Completion","2015Q1","E25: Cashel","Number","5"
"New Dwelling Completion","2015Q1","E32: Carrick-on-Suir","Number","0"
"New Dwelling Completion","2015Q1","E34: Tipperary","Number","4"
"New Dwelling Completion","2015Q1","E41: Thurles","Number","11"
"New Dwelling Completion","2015Q1","E45: Nenagh","Number","6"
"New Dwelling Completion","2015Q1","E53: Roscrea","Number","5"
"New Dwelling Completion","2015Q1","E91: Clonmel","Number","3"
"New Dwelling Completion","2015Q1","F12: Claremorris","Number","11"
"New Dwelling Completion","2015Q1","F23: Castlebar","Number","3"
"New Dwelling Completion","2015Q1","F26: Ballina","Number","13"
"New Dwelling Completion","2015Q1","F28: Westport","Number","7"
"New Dwelling Completion","2015Q1","F31: Ballinrobe","Number","1"
"New Dwelling Completion","2015Q1","F35: Ballyhaunis","Number","2"
"New Dwelling Completion","2015Q1","F42: Roscommon","Number","2"
"New Dwelling Completion","2015Q1","F45: Castlerea","Number","5"
"New Dwelling Completion","2015Q1","F52: Boyle","Number","2"
"New Dwelling Completion","2015Q1","F56: Ballymote","Number","5"
"New Dwelling Completion","2015Q1","F91: Sligo","Number","12"
"New Dwelling Completion","2015Q1","F92: Letterkenny","Number","24"
"New Dwelling Completion","2015Q1","F93: Lifford","Number","18"
"New Dwelling Completion","2015Q1","F94: Donegal","Number","9"
"New Dwelling Completion","2015Q1","H12: Cavan","Number","9"
"New Dwelling Completion","2015Q1","H14: Belturbet","Number","2"
"New Dwelling Completion","2015Q1","H16: Cootehill","Number","1"
"New Dwelling Completion","2015Q1","H18: Monaghan","Number","6"
"New Dwelling Completion","2015Q1","H23: Clones","Number","0"
"New Dwelling Completion","2015Q1","H53: Ballinasloe","Number","15"
"New Dwelling Completion","2015Q1","H54: Tuam","Number","4"
"New Dwelling Completion","2015Q1","H62: Loughrea","Number","5"
"New Dwelling Completion","2015Q1","H65: Athenry","Number","6"
"New Dwelling Completion","2015Q1","H71: Clifden","Number","2"
"New Dwelling Completion","2015Q1","H91: Galway","Number","41"
"New Dwelling Completion","2015Q1","K32: Balbriggan","Number","6"
"New Dwelling Completion","2015Q1","K34: Skerries","Number","6"
"New Dwelling Completion","2015Q1","K36: Malahide","Number","26"
"New Dwelling Completion","2015Q1","K45: Lusk","Number","15"
"New Dwelling Completion","2015Q1","K56: Rush","Number","7"
"New Dwelling Completion","2015Q1","K67: Swords","Number","54"
"New Dwelling Completion","2015Q1","K78: Lucan","Number","1"
"New Dwelling Completion","2015Q1","N37: Athlone","Number","8"
"New Dwelling Completion","2015Q1","N39: Longford","Number","6"
"New Dwelling Completion","2015Q1","N41: Carrick-on-Shannon","Number","7"
"New Dwelling Completion","2015Q1","N91: Mullingar","Number","7"
"New Dwelling Completion","2015Q1","P12: Macroom","Number","6"
"New Dwelling Completion","2015Q1","P14: Crookstown","Number","3"
"New Dwelling Completion","2015Q1","P17: Kinsale","Number","3"
"New Dwelling Completion","2015Q1","P24: Cobh","Number","3"
"New Dwelling Completion","2015Q1","P25: Midleton","Number","12"
"New Dwelling Completion","2015Q1","P31: Ballincollig","Number","8"
"New Dwelling Completion","2015Q1","P32: Rylane","Number","1"
"New Dwelling Completion","2015Q1","P36: Youghal","Number","3"
"New Dwelling Completion","2015Q1","P43: Carrigaline","Number","20"
"New Dwelling Completion","2015Q1","P47: Dunmanway","Number","3"
"New Dwelling Completion","2015Q1","P51: Mallow","Number","11"
"New Dwelling Completion","2015Q1","P56: Charleville","Number","3"
"New Dwelling Completion","2015Q1","P61: Fermoy","Number","2"
"New Dwelling Completion","2015Q1","P67: Mitchelstown","Number","1"
"New Dwelling Completion","2015Q1","P72: Bandon","Number","5"
"New Dwelling Completion","2015Q1","P75: Bantry","Number","4"
"New Dwelling Completion","2015Q1","P81: Skibbereen","Number","7"
"New Dwelling Completion","2015Q1","P85: Clonakilty","Number","6"
"New Dwelling Completion","2015Q1","R14: Athy","Number","5"
"New Dwelling Completion","2015Q1","R21: Mhuine Bheag","Number","3"
"New Dwelling Completion","2015Q1","R32: Portlaoise","Number","13"
"New Dwelling Completion","2015Q1","R35: Tullamore","Number","8"
"New Dwelling Completion","2015Q1","R42: Birr","Number","2"
"New Dwelling Completion","2015Q1","R45: Edenderry","Number","4"
"New Dwelling Completion","2015Q1","R51: Kildare","Number","3"
"New Dwelling Completion","2015Q1","R56: Curragh","Number","4"
"New Dwelling Completion","2015Q1","R93: Carlow","Number","15"
"New Dwelling Completion","2015Q1","R95: Kilkenny","Number","14"
"New Dwelling Completion","2015Q1","T12: Cork Southside","Number","23"
"New Dwelling Completion","2015Q1","T23: Cork Northside","Number","12"
"New Dwelling Completion","2015Q1","T34: Carrignavar","Number","1"
"New Dwelling Completion","2015Q1","T45: Glanmire","Number","3"
"New Dwelling Completion","2015Q1","T56: Watergrasshill","Number","1"
"New Dwelling Completion","2015Q1","V14: Shannon","Number","0"
"New Dwelling Completion","2015Q1","V15: Kilrush","Number","3"
"New Dwelling Completion","2015Q1","V23: Caherciveen","Number","0"
"New Dwelling Completion","2015Q1","V31: Listowel","Number","4"
"New Dwelling Completion","2015Q1","V35: Kilmallock","Number","6"
"New Dwelling Completion","2015Q1","V42: Newcastle West","Number","3"
"New Dwelling Completion","2015Q1","V92: Tralee","Number","10"
"New Dwelling Completion","2015Q1","V93: Killarney","Number","14"
"New Dwelling Completion","2015Q1","V94: Limerick","Number","34"
"New Dwelling Completion","2015Q1","V95: Ennis","Number","14"
"New Dwelling Completion","2015Q1","W12: Newbridge","Number","9"
"New Dwelling Completion","2015Q1","W23: Celbridge","Number","49"
"New Dwelling Completion","2015Q1","W34: Monasterevin","Number","2"
"New Dwelling Completion","2015Q1","W91: Naas","Number","38"
"New Dwelling Completion","2015Q1","X35: Dungarvan","Number","4"
"New Dwelling Completion","2015Q1","X42: Kilmacthomas","Number","2"
"New Dwelling Completion","2015Q1","X91: Waterford","Number","13"
"New Dwelling Completion","2015Q1","Y14: Arklow","Number","5"
"New Dwelling Completion","2015Q1","Y21: Enniscorthy","Number","19"
"New Dwelling Completion","2015Q1","Y25: Gorey","Number","13"
"New Dwelling Completion","2015Q1","Y34: New Ross","Number","6"
"New Dwelling Completion","2015Q1","Y35: Wexford","Number","12"
"New Dwelling Completion","2015Q2","All","Number","1570"
"New Dwelling Completion","2015Q2","A41: Ballyboughal","Number","0"
"New Dwelling Completion","2015Q2","A42: Garristown","Number","1"
"New Dwelling Completion","2015Q2","A45: Oldtown","Number","1"
"New Dwelling Completion","2015Q2","A63: Greystones","Number","15"
"New Dwelling Completion","2015Q2","A67: Wicklow","Number","26"
"New Dwelling Completion","2015Q2","A75: Castleblaney","Number","6"
"New Dwelling Completion","2015Q2","A81: Carrickmacross","Number","5"
"New Dwelling Completion","2015Q2","A82: Kells","Number","12"
"New Dwelling Completion","2015Q2","A83: Enfield","Number","13"
"New Dwelling Completion","2015Q2","A84: Ashbourne","Number","18"
"New Dwelling Completion","2015Q2","A85: Dunshaughlin","Number","13"
"New Dwelling Completion","2015Q2","A86: Dunboyne","Number","0"
"New Dwelling Completion","2015Q2","A91: Dundalk","Number","14"
"New Dwelling Completion","2015Q2","A92: Drogheda","Number","22"
"New Dwelling Completion","2015Q2","A94: Blackrock","Number","3"
"New Dwelling Completion","2015Q2","A96: Glenageary","Number","32"
"New Dwelling Completion","2015Q2","A98: Bray","Number","5"
"New Dwelling Completion","2015Q2","C15: Navan","Number","18"
"New Dwelling Completion","2015Q2","D01: Dublin 1","Number","10"
"New Dwelling Completion","2015Q2","D02: Dublin 2","Number","4"
"New Dwelling Completion","2015Q2","D03: Dublin 3","Number","7"
"New Dwelling Completion","2015Q2","D04: Dublin 4","Number","7"
"New Dwelling Completion","2015Q2","D05: Dublin 5","Number","3"
"New Dwelling Completion","2015Q2","D06: Dublin 6","Number","25"
"New Dwelling Completion","2015Q2","D07: Dublin 7","Number","5"
"New Dwelling Completion","2015Q2","D08: Dublin 8","Number","2"
"New Dwelling Completion","2015Q2","D09: Dublin 9","Number","2"
"New Dwelling Completion","2015Q2","D10: Dublin 10","Number","0"
"New Dwelling Completion","2015Q2","D11: Dublin 11","Number","12"
"New Dwelling Completion","2015Q2","D12: Dublin 12","Number","0"
"New Dwelling Completion","2015Q2","D13: Dublin 13","Number","48"
"New Dwelling Completion","2015Q2","D14: Dublin 14","Number","8"
"New Dwelling Completion","2015Q2","D15: Dublin 15","Number","75"
"New Dwelling Completion","2015Q2","D16: Dublin 16","Number","7"
"New Dwelling Completion","2015Q2","D17: Dublin 17","Number","0"
"New Dwelling Completion","2015Q2","D18: Dublin 18","Number","10"
"New Dwelling Completion","2015Q2","D20: Dublin 20","Number","0"
"New Dwelling Completion","2015Q2","D22: Dublin 22","Number","1"
"New Dwelling Completion","2015Q2","D24: Dublin 24","Number","19"
"New Dwelling Completion","2015Q2","D6W: Dublin 6W","Number","11"
"New Dwelling Completion","2015Q2","E21: Cahir","Number","3"
"New Dwelling Completion","2015Q2","E25: Cashel","Number","2"
"New Dwelling Completion","2015Q2","E32: Carrick-on-Suir","Number","2"
"New Dwelling Completion","2015Q2","E34: Tipperary","Number","4"
"New Dwelling Completion","2015Q2","E41: Thurles","Number","10"
"New Dwelling Completion","2015Q2","E45: Nenagh","Number","6"
"New Dwelling Completion","2015Q2","E53: Roscrea","Number","0"
"New Dwelling Completion","2015Q2","E91: Clonmel","Number","9"
"New Dwelling Completion","2015Q2","F12: Claremorris","Number","15"
"New Dwelling Completion","2015Q2","F23: Castlebar","Number","5"
"New Dwelling Completion","2015Q2","F26: Ballina","Number","11"
"New Dwelling Completion","2015Q2","F28: Westport","Number","11"
"New Dwelling Completion","2015Q2","F31: Ballinrobe","Number","0"
"New Dwelling Completion","2015Q2","F35: Ballyhaunis","Number","4"
"New Dwelling Completion","2015Q2","F42: Roscommon","Number","9"
"New Dwelling Completion","2015Q2","F45: Castlerea","Number","9"
"New Dwelling Completion","2015Q2","F52: Boyle","Number","5"
"New Dwelling Completion","2015Q2","F56: Ballymote","Number","1"
"New Dwelling Completion","2015Q2","F91: Sligo","Number","7"
"New Dwelling Completion","2015Q2","F92: Letterkenny","Number","34"
"New Dwelling Completion","2015Q2","F93: Lifford","Number","18"
"New Dwelling Completion","2015Q2","F94: Donegal","Number","15"
"New Dwelling Completion","2015Q2","H12: Cavan","Number","4"
"New Dwelling Completion","2015Q2","H14: Belturbet","Number","1"
"New Dwelling Completion","2015Q2","H16: Cootehill","Number","0"
"New Dwelling Completion","2015Q2","H18: Monaghan","Number","13"
"New Dwelling Completion","2015Q2","H23: Clones","Number","0"
"New Dwelling Completion","2015Q2","H53: Ballinasloe","Number","8"
"New Dwelling Completion","2015Q2","H54: Tuam","Number","10"
"New Dwelling Completion","2015Q2","H62: Loughrea","Number","5"
"New Dwelling Completion","2015Q2","H65: Athenry","Number","17"
"New Dwelling Completion","2015Q2","H71: Clifden","Number","1"
"New Dwelling Completion","2015Q2","H91: Galway","Number","46"
"New Dwelling Completion","2015Q2","K32: Balbriggan","Number","14"
"New Dwelling Completion","2015Q2","K34: Skerries","Number","16"
"New Dwelling Completion","2015Q2","K36: Malahide","Number","54"
"New Dwelling Completion","2015Q2","K45: Lusk","Number","1"
"New Dwelling Completion","2015Q2","K56: Rush","Number","5"
"New Dwelling Completion","2015Q2","K67: Swords","Number","43"
"New Dwelling Completion","2015Q2","K78: Lucan","Number","11"
"New Dwelling Completion","2015Q2","N37: Athlone","Number","18"
"New Dwelling Completion","2015Q2","N39: Longford","Number","20"
"New Dwelling Completion","2015Q2","N41: Carrick-on-Shannon","Number","9"
"New Dwelling Completion","2015Q2","N91: Mullingar","Number","8"
"New Dwelling Completion","2015Q2","P12: Macroom","Number","9"
"New Dwelling Completion","2015Q2","P14: Crookstown","Number","0"
"New Dwelling Completion","2015Q2","P17: Kinsale","Number","4"
"New Dwelling Completion","2015Q2","P24: Cobh","Number","2"
"New Dwelling Completion","2015Q2","P25: Midleton","Number","7"
"New Dwelling Completion","2015Q2","P31: Ballincollig","Number","5"
"New Dwelling Completion","2015Q2","P32: Rylane","Number","1"
"New Dwelling Completion","2015Q2","P36: Youghal","Number","5"
"New Dwelling Completion","2015Q2","P43: Carrigaline","Number","24"
"New Dwelling Completion","2015Q2","P47: Dunmanway","Number","7"
"New Dwelling Completion","2015Q2","P51: Mallow","Number","21"
"New Dwelling Completion","2015Q2","P56: Charleville","Number","1"
"New Dwelling Completion","2015Q2","P61: Fermoy","Number","5"
"New Dwelling Completion","2015Q2","P67: Mitchelstown","Number","2"
"New Dwelling Completion","2015Q2","P72: Bandon","Number","15"
"New Dwelling Completion","2015Q2","P75: Bantry","Number","10"
"New Dwelling Completion","2015Q2","P81: Skibbereen","Number","10"
"New Dwelling Completion","2015Q2","P85: Clonakilty","Number","6"
"New Dwelling Completion","2015Q2","R14: Athy","Number","4"
"New Dwelling Completion","2015Q2","R21: Mhuine Bheag","Number","2"
"New Dwelling Completion","2015Q2","R32: Portlaoise","Number","21"
"New Dwelling Completion","2015Q2","R35: Tullamore","Number","4"
"New Dwelling Completion","2015Q2","R42: Birr","Number","8"
"New Dwelling Completion","2015Q2","R45: Edenderry","Number","3"
"New Dwelling Completion","2015Q2","R51: Kildare","Number","7"
"New Dwelling Completion","2015Q2","R56: Curragh","Number","3"
"New Dwelling Completion","2015Q2","R93: Carlow","Number","13"
"New Dwelling Completion","2015Q2","R95: Kilkenny","Number","16"
"New Dwelling Completion","2015Q2","T12: Cork Southside","Number","12"
"New Dwelling Completion","2015Q2","T23: Cork Northside","Number","26"
"New Dwelling Completion","2015Q2","T34: Carrignavar","Number","2"
"New Dwelling Completion","2015Q2","T45: Glanmire","Number","4"
"New Dwelling Completion","2015Q2","T56: Watergrasshill","Number","3"
"New Dwelling Completion","2015Q2","V14: Shannon","Number","1"
"New Dwelling Completion","2015Q2","V15: Kilrush","Number","11"
"New Dwelling Completion","2015Q2","V23: Caherciveen","Number","2"
"New Dwelling Completion","2015Q2","V31: Listowel","Number","5"
"New Dwelling Completion","2015Q2","V35: Kilmallock","Number","7"
"New Dwelling Completion","2015Q2","V42: Newcastle West","Number","4"
"New Dwelling Completion","2015Q2","V92: Tralee","Number","10"
"New Dwelling Completion","2015Q2","V93: Killarney","Number","22"
"New Dwelling Completion","2015Q2","V94: Limerick","Number","34"
"New Dwelling Completion","2015Q2","V95: Ennis","Number","20"
"New Dwelling Completion","2015Q2","W12: Newbridge","Number","12"
"New Dwelling Completion","2015Q2","W23: Celbridge","Number","63"
"New Dwelling Completion","2015Q2","W34: Monasterevin","Number","1"
"New Dwelling Completion","2015Q2","W91: Naas","Number","69"
"New Dwelling Completion","2015Q2","X35: Dungarvan","Number","12"
"New Dwelling Completion","2015Q2","X42: Kilmacthomas","Number","5"
"New Dwelling Completion","2015Q2","X91: Waterford","Number","24"
"New Dwelling Completion","2015Q2","Y14: Arklow","Number","7"
"New Dwelling Completion","2015Q2","Y21: Enniscorthy","Number","21"
"New Dwelling Completion","2015Q2","Y25: Gorey","Number","16"
"New Dwelling Completion","2015Q2","Y34: New Ross","Number","7"
"New Dwelling Completion","2015Q2","Y35: Wexford","Number","11"
"New Dwelling Completion","2015Q3","All","Number","2033"
"New Dwelling Completion","2015Q3","A41: Ballyboughal","Number","0"
"New Dwelling Completion","2015Q3","A42: Garristown","Number","1"
"New Dwelling Completion","2015Q3","A45: Oldtown","Number","0"
"New Dwelling Completion","2015Q3","A63: Greystones","Number","39"
"New Dwelling Completion","2015Q3","A67: Wicklow","Number","28"
"New Dwelling Completion","2015Q3","A75: Castleblaney","Number","12"
"New Dwelling Completion","2015Q3","A81: Carrickmacross","Number","5"
"New Dwelling Completion","2015Q3","A82: Kells","Number","19"
"New Dwelling Completion","2015Q3","A83: Enfield","Number","8"
"New Dwelling Completion","2015Q3","A84: Ashbourne","Number","17"
"New Dwelling Completion","2015Q3","A85: Dunshaughlin","Number","8"
"New Dwelling Completion","2015Q3","A86: Dunboyne","Number","4"
"New Dwelling Completion","2015Q3","A91: Dundalk","Number","18"
"New Dwelling Completion","2015Q3","A92: Drogheda","Number","29"
"New Dwelling Completion","2015Q3","A94: Blackrock","Number","4"
"New Dwelling Completion","2015Q3","A96: Glenageary","Number","38"
"New Dwelling Completion","2015Q3","A98: Bray","Number","17"
"New Dwelling Completion","2015Q3","C15: Navan","Number","26"
"New Dwelling Completion","2015Q3","D01: Dublin 1","Number","36"
"New Dwelling Completion","2015Q3","D02: Dublin 2","Number","8"
"New Dwelling Completion","2015Q3","D03: Dublin 3","Number","7"
"New Dwelling Completion","2015Q3","D04: Dublin 4","Number","2"
"New Dwelling Completion","2015Q3","D05: Dublin 5","Number","1"
"New Dwelling Completion","2015Q3","D06: Dublin 6","Number","15"
"New Dwelling Completion","2015Q3","D07: Dublin 7","Number","19"
"New Dwelling Completion","2015Q3","D08: Dublin 8","Number","5"
"New Dwelling Completion","2015Q3","D09: Dublin 9","Number","10"
"New Dwelling Completion","2015Q3","D10: Dublin 10","Number","0"
"New Dwelling Completion","2015Q3","D11: Dublin 11","Number","11"
"New Dwelling Completion","2015Q3","D12: Dublin 12","Number","1"
"New Dwelling Completion","2015Q3","D13: Dublin 13","Number","2"
"New Dwelling Completion","2015Q3","D14: Dublin 14","Number","27"
"New Dwelling Completion","2015Q3","D15: Dublin 15","Number","56"
"New Dwelling Completion","2015Q3","D16: Dublin 16","Number","34"
"New Dwelling Completion","2015Q3","D17: Dublin 17","Number","1"
"New Dwelling Completion","2015Q3","D18: Dublin 18","Number","29"
"New Dwelling Completion","2015Q3","D20: Dublin 20","Number","1"
"New Dwelling Completion","2015Q3","D22: Dublin 22","Number","0"
"New Dwelling Completion","2015Q3","D24: Dublin 24","Number","39"
"New Dwelling Completion","2015Q3","D6W: Dublin 6W","Number","1"
"New Dwelling Completion","2015Q3","E21: Cahir","Number","2"
"New Dwelling Completion","2015Q3","E25: Cashel","Number","6"
"New Dwelling Completion","2015Q3","E32: Carrick-on-Suir","Number","4"
"New Dwelling Completion","2015Q3","E34: Tipperary","Number","7"
"New Dwelling Completion","2015Q3","E41: Thurles","Number","9"
"New Dwelling Completion","2015Q3","E45: Nenagh","Number","9"
"New Dwelling Completion","2015Q3","E53: Roscrea","Number","5"
"New Dwelling Completion","2015Q3","E91: Clonmel","Number","7"
"New Dwelling Completion","2015Q3","F12: Claremorris","Number","15"
"New Dwelling Completion","2015Q3","F23: Castlebar","Number","6"
"New Dwelling Completion","2015Q3","F26: Ballina","Number","18"
"New Dwelling Completion","2015Q3","F28: Westport","Number","24"
"New Dwelling Completion","2015Q3","F31: Ballinrobe","Number","4"
"New Dwelling Completion","2015Q3","F35: Ballyhaunis","Number","1"
"New Dwelling Completion","2015Q3","F42: Roscommon","Number","6"
"New Dwelling Completion","2015Q3","F45: Castlerea","Number","15"
"New Dwelling Completion","2015Q3","F52: Boyle","Number","1"
"New Dwelling Completion","2015Q3","F56: Ballymote","Number","4"
"New Dwelling Completion","2015Q3","F91: Sligo","Number","15"
"New Dwelling Completion","2015Q3","F92: Letterkenny","Number","24"
"New Dwelling Completion","2015Q3","F93: Lifford","Number","10"
"New Dwelling Completion","2015Q3","F94: Donegal","Number","24"
"New Dwelling Completion","2015Q3","H12: Cavan","Number","7"
"New Dwelling Completion","2015Q3","H14: Belturbet","Number","5"
"New Dwelling Completion","2015Q3","H16: Cootehill","Number","2"
"New Dwelling Completion","2015Q3","H18: Monaghan","Number","11"
"New Dwelling Completion","2015Q3","H23: Clones","Number","0"
"New Dwelling Completion","2015Q3","H53: Ballinasloe","Number","11"
"New Dwelling Completion","2015Q3","H54: Tuam","Number","14"
"New Dwelling Completion","2015Q3","H62: Loughrea","Number","10"
"New Dwelling Completion","2015Q3","H65: Athenry","Number","17"
"New Dwelling Completion","2015Q3","H71: Clifden","Number","2"
"New Dwelling Completion","2015Q3","H91: Galway","Number","55"
"New Dwelling Completion","2015Q3","K32: Balbriggan","Number","5"
"New Dwelling Completion","2015Q3","K34: Skerries","Number","8"
"New Dwelling Completion","2015Q3","K36: Malahide","Number","103"
"New Dwelling Completion","2015Q3","K45: Lusk","Number","6"
"New Dwelling Completion","2015Q3","K56: Rush","Number","7"
"New Dwelling Completion","2015Q3","K67: Swords","Number","64"
"New Dwelling Completion","2015Q3","K78: Lucan","Number","20"
"New Dwelling Completion","2015Q3","N37: Athlone","Number","15"
"New Dwelling Completion","2015Q3","N39: Longford","Number","15"
"New Dwelling Completion","2015Q3","N41: Carrick-on-Shannon","Number","12"
"New Dwelling Completion","2015Q3","N91: Mullingar","Number","17"
"New Dwelling Completion","2015Q3","P12: Macroom","Number","9"
"New Dwelling Completion","2015Q3","P14: Crookstown","Number","2"
"New Dwelling Completion","2015Q3","P17: Kinsale","Number","6"
"New Dwelling Completion","2015Q3","P24: Cobh","Number","3"
"New Dwelling Completion","2015Q3","P25: Midleton","Number","14"
"New Dwelling Completion","2015Q3","P31: Ballincollig","Number","3"
"New Dwelling Completion","2015Q3","P32: Rylane","Number","3"
"New Dwelling Completion","2015Q3","P36: Youghal","Number","1"
"New Dwelling Completion","2015Q3","P43: Carrigaline","Number","22"
"New Dwelling Completion","2015Q3","P47: Dunmanway","Number","10"
"New Dwelling Completion","2015Q3","P51: Mallow","Number","21"
"New Dwelling Completion","2015Q3","P56: Charleville","Number","3"
"New Dwelling Completion","2015Q3","P61: Fermoy","Number","6"
"New Dwelling Completion","2015Q3","P67: Mitchelstown","Number","4"
"New Dwelling Completion","2015Q3","P72: Bandon","Number","14"
"New Dwelling Completion","2015Q3","P75: Bantry","Number","4"
"New Dwelling Completion","2015Q3","P81: Skibbereen","Number","5"
"New Dwelling Completion","2015Q3","P85: Clonakilty","Number","13"
"New Dwelling Completion","2015Q3","R14: Athy","Number","5"
"New Dwelling Completion","2015Q3","R21: Mhuine Bheag","Number","6"
"New Dwelling Completion","2015Q3","R32: Portlaoise","Number","25"
"New Dwelling Completion","2015Q3","R35: Tullamore","Number","24"
"New Dwelling Completion","2015Q3","R42: Birr","Number","23"
"New Dwelling Completion","2015Q3","R45: Edenderry","Number","3"
"New Dwelling Completion","2015Q3","R51: Kildare","Number","2"
"New Dwelling Completion","2015Q3","R56: Curragh","Number","4"
"New Dwelling Completion","2015Q3","R93: Carlow","Number","27"
"New Dwelling Completion","2015Q3","R95: Kilkenny","Number","26"
"New Dwelling Completion","2015Q3","T12: Cork Southside","Number","21"
"New Dwelling Completion","2015Q3","T23: Cork Northside","Number","22"
"New Dwelling Completion","2015Q3","T34: Carrignavar","Number","1"
"New Dwelling Completion","2015Q3","T45: Glanmire","Number","13"
"New Dwelling Completion","2015Q3","T56: Watergrasshill","Number","0"
"New Dwelling Completion","2015Q3","V14: Shannon","Number","0"
"New Dwelling Completion","2015Q3","V15: Kilrush","Number","6"
"New Dwelling Completion","2015Q3","V23: Caherciveen","Number","2"
"New Dwelling Completion","2015Q3","V31: Listowel","Number","2"
"New Dwelling Completion","2015Q3","V35: Kilmallock","Number","7"
