"STATISTIC Label","Quarter","Eircode Output","UNIT","VALUE"
"New Dwelling Completion","2012Q1","P14: Crookstown","Number","4"
"New Dwelling Completion","2012Q1","P17: Kinsale","Number","6"
"New Dwelling Completion","2012Q1","P24: Cobh","Number","1"
"New Dwelling Completion","2012Q1","P25: Midleton","Number","5"
"New Dwelling Completion","2012Q1","P31: Ballincollig","Number","4"
"New Dwelling Completion","2012Q1","P32: Rylane","Number","0"
"New Dwelling Completion","2012Q1","P36: Youghal","Number","5"
"New Dwelling Completion","2012Q1","P43: Carrigaline","Number","5"
"New Dwelling Completion","2012Q1","P47: Dunmanway","Number","8"
"New Dwelling Completion","2012Q1","P51: Mallow","Number","24"
"New Dwelling Completion","2012Q1","P56: Charleville","Number","2"
"New Dwelling Completion","2012Q1","P61: Fermoy","Number","3"
"New Dwelling Completion","2012Q1","P67: Mitchelstown","Number","2"
"New Dwelling Completion","2012Q1","P72: Bandon","Number","9"
"New Dwelling Completion","2012Q1","P75: Bantry","Number","9"
"New Dwelling Completion","2012Q1","P81: Skibbereen","Number","10"
"New Dwelling Completion","2012Q1","P85: Clonakilty","Number","2"
"New Dwelling Completion","2012Q1","R14: Athy","Number","20"
"New Dwelling Completion","2012Q1","R21: Mhuine Bheag","Number","1"
"New Dwelling Completion","2012Q1","R32: Portlaoise","Number","22"
"New Dwelling Completion","2012Q1","R35: Tullamore","Number","5"
"New Dwelling Completion","2012Q1","R42: Birr","Number","4"
"New Dwelling Completion","2012Q1","R45: Edenderry","Number","1"
"New Dwelling Completion","2012Q1","R51: Kildare","Number","2"
"New Dwelling Completion","2012Q1","R56: Curragh","Number","4"
"New Dwelling Completion","2012Q1","R93: Carlow","Number","12"
"New Dwelling Completion","2012Q1","R95: Kilkenny","Number","21"
"New Dwelling Completion","2012Q1","T12: Cork Southside","Number","11"
"New Dwelling Completion","2012Q1","T23: Cork Northside","Number","10"
"New Dwelling Completion","2012Q1","T34: Carrignavar","Number","0"
"New Dwelling Completion","2012Q1","T45: Glanmire","Number","10"
"New Dwelling Completion","2012Q1","T56: Watergrasshill","Number","2"
"New Dwelling Completion","2012Q1","V14: Shannon","Number","10"
"New Dwelling Completion","2012Q1","V15: Kilrush","Number","3"
"New Dwelling Completion","2012Q1","V23: Caherciveen","Number","3"
"New Dwelling Completion","2012Q1","V31: Listowel","Number","6"
"New Dwelling Completion","2012Q1","V35: Kilmallock","Number","6"
"New Dwelling Completion","2012Q1","V42: Newcastle West","Number","2"
"New Dwelling Completion","2012Q1","V92: Tralee","Number","15"
"New Dwelling Completion","2012Q1","V93: Killarney","Number","23"
"New Dwelling Completion","2012Q1","V94: Limerick","Number","35"
"New Dwelling Completion","2012Q1","V95: Ennis","Number","19"
"New Dwelling Completion","2012Q1","W12: Newbridge","Number","2"
"New Dwelling Completion","2012Q1","W23: Celbridge","Number","15"
"New Dwelling Completion","2012Q1","W34: Monasterevin","Number","1"
"New Dwelling Completion","2012Q1","W91: Naas","Number","14"
"New Dwelling Completion","2012Q1","X35: Dungarvan","Number","3"
"New Dwelling Completion","2012Q1","X42: Kilmacthomas","Number","1"
"New Dwelling Completion","2012Q1","X91: Waterford","Number","13"
"New Dwelling Completion","2012Q1","Y14: Arklow","Number","2"
"New Dwelling Completion","2012Q1","Y21: Enniscorthy","Number","24"
"New Dwelling Completion","2012Q1","Y25: Gorey","Number","10"
"New Dwelling Completion","2012Q1","Y34: New Ross","Number","4"
"New Dwelling Completion","2012Q1","Y35: Wexford","Number","9"
"New Dwelling Completion","2012Q2","All","Number","1117"
"New Dwelling Completion","2012Q2","A41: Ballyboughal","Number","0"
"New Dwelling Completion","2012Q2","A42: Garristown","Number","2"
"New Dwelling Completion","2012Q2","A45: Oldtown","Number","1"
"New Dwelling Completion","2012Q2","A63: Greystones","Number","22"
"New Dwelling Completion","2012Q2","A67: Wicklow","Number","2"
"New Dwelling Completion","2012Q2","A75: Castleblaney","Number","7"
"New Dwelling Completion","2012Q2","A81: Carrickmacross","Number","2"
"New Dwelling Completion","2012Q2","A82: Kells","Number","18"
"New Dwelling Completion","2012Q2","A83: Enfield","Number","2"
"New Dwelling Completion","2012Q2","A84: Ashbourne","Number","6"
"New Dwelling Completion","2012Q2","A85: Dunshaughlin","Number","3"
"New Dwelling Completion","2012Q2","A86: Dunboyne","Number","0"
"New Dwelling Completion","2012Q2","A91: Dundalk","Number","15"
"New Dwelling Completion","2012Q2","A92: Drogheda","Number","15"
"New Dwelling Completion","2012Q2","A94: Blackrock","Number","6"
"New Dwelling Completion","2012Q2","A96: Glenageary","Number","3"
"New Dwelling Completion","2012Q2","A98: Bray","Number","5"
"New Dwelling Completion","2012Q2","C15: Navan","Number","24"
"New Dwelling Completion","2012Q2","D01: Dublin 1","Number","0"
"New Dwelling Completion","2012Q2","D02: Dublin 2","Number","3"
"New Dwelling Completion","2012Q2","D03: Dublin 3","Number","10"
"New Dwelling Completion","2012Q2","D04: Dublin 4","Number","5"
"New Dwelling Completion","2012Q2","D05: Dublin 5","Number","2"
"New Dwelling Completion","2012Q2","D06: Dublin 6","Number","2"
"New Dwelling Completion","2012Q2","D07: Dublin 7","Number","8"
"New Dwelling Completion","2012Q2","D08: Dublin 8","Number","2"
"New Dwelling Completion","2012Q2","D09: Dublin 9","Number","1"
"New Dwelling Completion","2012Q2","D10: Dublin 10","Number","0"
"New Dwelling Completion","2012Q2","D11: Dublin 11","Number","1"
"New Dwelling Completion","2012Q2","D12: Dublin 12","Number","0"
"New Dwelling Completion","2012Q2","D13: Dublin 13","Number","2"
"New Dwelling Completion","2012Q2","D14: Dublin 14","Number","0"
"New Dwelling Completion","2012Q2","D15: Dublin 15","Number","7"
"New Dwelling Completion","2012Q2","D16: Dublin 16","Number","9"
"New Dwelling Completion","2012Q2","D17: Dublin 17","Number","0"
"New Dwelling Completion","2012Q2","D18: Dublin 18","Number","1"
"New Dwelling Completion","2012Q2","D20: Dublin 20","Number","0"
"New Dwelling Completion","2012Q2","D22: Dublin 22","Number","0"
"New Dwelling Completion","2012Q2","D24: Dublin 24","Number","12"
"New Dwelling Completion","2012Q2","D6W: Dublin 6W","Number","3"
"New Dwelling Completion","2012Q2","E21: Cahir","Number","4"
"New Dwelling Completion","2012Q2","E25: Cashel","Number","2"
"New Dwelling Completion","2012Q2","E32: Carrick-on-Suir","Number","3"
"New Dwelling Completion","2012Q2","E34: Tipperary","Number","4"
"New Dwelling Completion","2012Q2","E41: Thurles","Number","10"
"New Dwelling Completion","2012Q2","E45: Nenagh","Number","3"
"New Dwelling Completion","2012Q2","E53: Roscrea","Number","1"
"New Dwelling Completion","2012Q2","E91: Clonmel","Number","3"
"New Dwelling Completion","2012Q2","F12: Claremorris","Number","12"
"New Dwelling Completion","2012Q2","F23: Castlebar","Number","5"
"New Dwelling Completion","2012Q2","F26: Ballina","Number","19"
"New Dwelling Completion","2012Q2","F28: Westport","Number","17"
"New Dwelling Completion","2012Q2","F31: Ballinrobe","Number","1"
"New Dwelling Completion","2012Q2","F35: Ballyhaunis","Number","5"
"New Dwelling Completion","2012Q2","F42: Roscommon","Number","11"
"New Dwelling Completion","2012Q2","F45: Castlerea","Number","11"
"New Dwelling Completion","2012Q2","F52: Boyle","Number","5"
"New Dwelling Completion","2012Q2","F56: Ballymote","Number","1"
"New Dwelling Completion","2012Q2","F91: Sligo","Number","60"
"New Dwelling Completion","2012Q2","F92: Letterkenny","Number","24"
"New Dwelling Completion","2012Q2","F93: Lifford","Number","38"
"New Dwelling Completion","2012Q2","F94: Donegal","Number","12"
"New Dwelling Completion","2012Q2","H12: Cavan","Number","4"
"New Dwelling Completion","2012Q2","H14: Belturbet","Number","1"
"New Dwelling Completion","2012Q2","H16: Cootehill","Number","4"
"New Dwelling Completion","2012Q2","H18: Monaghan","Number","8"
"New Dwelling Completion","2012Q2","H23: Clones","Number","2"
"New Dwelling Completion","2012Q2","H53: Ballinasloe","Number","11"
"New Dwelling Completion","2012Q2","H54: Tuam","Number","8"
"New Dwelling Completion","2012Q2","H62: Loughrea","Number","4"
"New Dwelling Completion","2012Q2","H65: Athenry","Number","8"
"New Dwelling Completion","2012Q2","H71: Clifden","Number","1"
"New Dwelling Completion","2012Q2","H91: Galway","Number","46"
"New Dwelling Completion","2012Q2","K32: Balbriggan","Number","5"
"New Dwelling Completion","2012Q2","K34: Skerries","Number","3"
"New Dwelling Completion","2012Q2","K36: Malahide","Number","7"
"New Dwelling Completion","2012Q2","K45: Lusk","Number","0"
"New Dwelling Completion","2012Q2","K56: Rush","Number","2"
"New Dwelling Completion","2012Q2","K67: Swords","Number","2"
"New Dwelling Completion","2012Q2","K78: Lucan","Number","2"
"New Dwelling Completion","2012Q2","N37: Athlone","Number","9"
"New Dwelling Completion","2012Q2","N39: Longford","Number","25"
"New Dwelling Completion","2012Q2","N41: Carrick-on-Shannon","Number","7"
"New Dwelling Completion","2012Q2","N91: Mullingar","Number","16"
"New Dwelling Completion","2012Q2","P12: Macroom","Number","11"
"New Dwelling Completion","2012Q2","P14: Crookstown","Number","1"
"New Dwelling Completion","2012Q2","P17: Kinsale","Number","9"
"New Dwelling Completion","2012Q2","P24: Cobh","Number","0"
"New Dwelling Completion","2012Q2","P25: Midleton","Number","8"
"New Dwelling Completion","2012Q2","P31: Ballincollig","Number","19"
"New Dwelling Completion","2012Q2","P32: Rylane","Number","3"
"New Dwelling Completion","2012Q2","P36: Youghal","Number","4"
"New Dwelling Completion","2012Q2","P43: Carrigaline","Number","5"
"New Dwelling Completion","2012Q2","P47: Dunmanway","Number","7"
"New Dwelling Completion","2012Q2","P51: Mallow","Number","21"
"New Dwelling Completion","2012Q2","P56: Charleville","Number","5"
"New Dwelling Completion","2012Q2","P61: Fermoy","Number","2"
"New Dwelling Completion","2012Q2","P67: Mitchelstown","Number","5"
"New Dwelling Completion","2012Q2","P72: Bandon","Number","9"
"New Dwelling Completion","2012Q2","P75: Bantry","Number","4"
"New Dwelling Completion","2012Q2","P81: Skibbereen","Number","11"
"New Dwelling Completion","2012Q2","P85: Clonakilty","Number","7"
"New Dwelling Completion","2012Q2","R14: Athy","Number","7"
"New Dwelling Completion","2012Q2","R21: Mhuine Bheag","Number","4"
